Key,Message
0_bytes_a1e1cdb3,0 Bytes
5_minute_intro_7ea06d2b,5 Minute Intro
ErrorInfo_part1,An error occured in the form editor!
ErrorInfo_part2,This is likely due to malformed data or missing functionality in Composer.
ErrorInfo_part3,Try navigating to another node in the visual editor.
a_dialog_file_must_have_a_name_123ff67d,a dialog file must have a name
a_minimap_gives_an_overview_of_your_source_code_fo_9a897f4f,A minimap gives an overview of your source code for quick navigation and code understanding.
a_newer_version_of_the_provisioning_scripts_has_be_85d3ad94,"A newer version of the provisioning scripts has been found, and this project can be updated to the latest."
a_profile_with_that_name_already_exists_7c559958,A profile with that name already exists.
a_subscription_key_is_created_when_you_create_a_qn_37a6926f,A subscription key is created when you create a QnA Maker resource.
a_valid_url_should_start_with_http_or_https_d24b3591,A valid url should start with http:// or https://
about_70c18bba,About
access_external_resources_7e37fe21,Access external resources
action_created_f80af9a0,Action created
action_deleted_a10c002b,Action deleted
action_focused_400ee4af,Action focused
action_unfocused_18a2800e,Action unfocused
actions_copied_2821ab27,Actions copied
actions_created_6c5acc11,Actions created
actions_cut_929f4c37,Actions cut
actions_define_b_how_the_bot_responds_b_to_a_certa_890a71f4,Actions define <b>how the bot responds</b> to a certain trigger.
actions_deleted_355c359a,Actions deleted
actions_disabled_c1accfb6,Actions disabled
actions_efcde10d,Actions
actions_enabled_8e9ec02d,Actions enabled
actions_moved_d7777b29,Actions moved
activities_125193f7,Activities
activity_13915493,Activity
activity_received_2f20fa9d,Activity received
adaptive_dialog_61a05dde,Adaptive dialog
add_8523c19b,Add
add_a_new_key_5c208c29,Add a new key
add_a_new_skill_dialog_aaaafa9c,Add a new Skill Dialog
add_a_new_trigger_a82d3db8,Add a new trigger
add_a_new_value_24ca14ac,Add a new value
add_a_publish_profile_fca2263a,Add a publish profile
add_a_skill_46d2b71c,Add a skill
add_a_welcome_message_9e1480b2,Add a welcome message
add_additional_url_bdfac25d,Add additional URL
add_alternative_phrasing_47234f77,add alternative phrasing
add_an_intent_trigger_a9acc149,Add an intent trigger
add_custom_runtime_6b73dc44,Add custom runtime
add_language_75dee49e,Add language
add_multiple_comma_separated_synonyms_2639283f,Add multiple comma-separated synonyms
add_new_dialog_25f12c9,Add new dialog
add_new_extension_19b82b77,Add new extension
add_new_knowledge_base_on_displayname_7f44609c, Add new knowledge base on { displayName }
add_new_profile_47b225e6,Add new profile
add_new_propertyname_bedf7dc6,Add new { propertyName }
add_new_trigger_on_displayname_2aaf6e4c,Add new trigger on { displayName }
add_new_validation_rule_here_eb675ccf,Add new validation rule here
add_qna_pair_bcb1624,Add QnA Pair
add_some_example_phrases_to_trigger_this_intent_pl_568eaf51,"> add some example phrases to trigger this intent:\n> - please tell me the weather\n> - what is the weather like in '{'city=Seattle'}'\n\n> entity definitions:\n> @ ml city"
add_some_expected_user_responses_please_remind_me__31dc5c07,"> add some expected user responses:\n> - Please remind me to '{'itemTitle=buy milk'}'\n> - remind me to '{'itemTitle'}'\n> - add '{'itemTitle'}' to my todo list\n>\n> entity definitions:\n> @ ml itemTitle\n"
add_welcome_message_49d9ded9,Add welcome message
advanced_events_2cbfa47d,Advanced Events
all_4321c3a1,All
all_language_generation_files_ef778f24,all language generation files
all_language_understanding_files_714b33eb,all language understanding files
all_profiles_8321b1aa,All profiles
all_qna_files_349d7fe1,all qna files
an_authoring_key_is_created_automatically_when_you_21cf77aa,An authoring key is created automatically when you create a LUIS account.
answer_4620913f,Answer
answer_is_answer_799483f0,Answer is { answer }
any_constant_or_expression_to_evaluate_ba2017b1,Any constant or expression to evaluate.
any_or_expression_acad7d37,Any or expression
append_choices_35c45a2d,Append choices
application_language_87691b6,Application Language
application_language_f100f3e0,Application language
application_settings_39e840c6,Application Settings
application_updates_bdf5f8b6,Application Updates
apr_9_2020_3c8b47d7,"Apr 9, 2020"
are_you_sure_you_want_to_exit_the_onboarding_produ_c2de1b23,Are you sure you want to exit the Onboarding Product Tour? You can restart the tour in the onboarding settings.
are_you_sure_you_want_to_stop_current_runtime_and__a5f883b2,Are you sure you want to stop current runtime and replace them?
array_643947ee,Array
array_constant_8829b2ec,Array constant.
array_or_expression_c52b2ecc,Array or expression
array_or_expression_to_evaluate_87d9328b,Array or expression to evaluate.
ask_a_question_92ef7e0c,Ask a question
attachment_input_e0ece49c,Attachment Input
australia_6a25c95b,australia
authoring_canvas_18802e39,Authoring canvas
authoring_region_to_use_e_g_westus_westeurope_aust_d43d5245,"Authoring region to use (e.g. westus, westeurope, australiaeast)"
authoring_region_to_use_westus_qna_maker_resource__4588c2f9,Authoring region to use (westus)  (QnA maker resource location)
auto_update_86eb33b0,Auto update
available_skills_95c114ac,Available Skills
been_used_5daccdb2,Been used
begin_a_new_dialog_60249bd8,Begin a new dialog
begin_a_remote_skill_dialog_93e47189,Begin a remote skill dialog.
begin_dialog_12e2becf,Begin Dialog
begin_dialog_event_285bc650,Begin dialog event
begindialog_a5594562,BeginDialog
ben_brown_99c12d19,Ben Brown
boolean_6000988a,Boolean
boolean_condition_b65450ca,Boolean condition
boolean_constant_7d3fcbf6,Boolean constant
