Key,Message
boolean_constant_8d950af8,Boolean constant.
boolean_constant_or_expression_to_evaluate_86d77849,Boolean constant or expression to evaluate.
boolean_field_602934c9,boolean field
boolean_or_expression_6bd88208,Boolean or expression
boolean_value_98d39ea1,Boolean value.
bot_asks_5e9f0202,Bot Asks
bot_framework_composer_enables_developers_and_mult_ce0e42a9,"Bot Framework Composer enables developers and multi-disciplinary teams to build all kinds of conversational experiences, using the latest components from the Bot Framework: SDK, LG, LU, and declarative file formats, all without writing code."
bot_framework_composer_fae721be,Bot Framework Composer
bot_framework_composer_icon_gray_fa72d3d6,bot framework composer icon gray
bot_framework_composer_is_a_visual_authoring_canva_c3947d91,"Bot Framework Composer is a visual authoring canvas for building bots and other types of conversational application with the Microsoft Bot Framework technology stack. With Composer you will find everything you need to build a modern, state-of-the-art conversational experience."
bot_framework_composer_is_an_open_source_visual_au_2be2e02b,"Bot Framework Composer is an open-source visual authoring canvas for developers and multi-disciplinary teams to build bots. Composer integrates LUIS and QnA Maker, and allows sophisticated composition of bot replies using language generation."
bot_framework_provides_the_most_comprehensive_expe_e34a7f5d,Bot Framework provides the most comprehensive experience for building conversational applications.
bot_language_6cf30c2,Bot language
bot_language_active_7cf9dc78,Bot language (active)
bot_name_is_botname_a28c2d05,Bot name is { botName }
bot_responses_4617b4a2,Bot responses
bot_responses_c4e63601,Bot Responses
bot_settings_3751e1b2,Bot settings
bot_settings_ce2783e4,Bot Settings
branch_if_else_391e5681,Branch: If/else
branch_if_else_992cf9bf,Branch: If/Else
branch_if_else_f6a36f1d,Branch: if/else
branch_switch_multiple_options_95c6a326,Branch: Switch (multiple options)
break_out_of_loop_ab30157c,Break out of loop
build_your_first_bot_f9c3e427,Build your first bot
bytes_74acea97,Bytes
calculating_17b21be7,Calculating...
cancel_all_active_dialogs_335b1623,Cancel all active dialogs
cancel_all_dialogs_32144c45,Cancel All Dialogs
cancel_caeb1e68,Cancel
cancel_dialog_event_cc671dee,Cancel dialog event
change_recognizer_3145b93d,Change Recognizer
check_for_updates_and_install_them_automatically_50337340,Check for updates and install them automatically.
choice_input_f75a2353,Choice Input
choice_name_fe8411f4,Choice Name
choose_a_location_for_your_new_bot_project_e979f2d5,Choose a location for your new bot project.
choose_how_to_create_your_bot_a97f7b3e,Choose how to create your bot
choose_one_2c4277df,Choose One
chris_whitten_11df1f35,Chris Whitten
click_on_the_b_add_b_button_in_the_toolbar_and_sel_4daf351a,"Click on the <b>Add</b> button in the toolbar, and select <b>Add a new trigger</b>. In the <b>Create a trigger</b> wizard, set the <b>Trigger Type</b> to <i>Intent recognized</i> and configure the <b>Trigger Name</b> and <b>Trigger Phrases</b>. Then add actions in the Visual Editor."
click_the_b_add_b_button_in_the_toolbar_and_select_79001156,"Click the <b>Add</b> button in the toolbar, and select <b>Add a new trigger</b> from the dropdown menu."
click_to_sort_by_file_type_1b0c9bd,Click to sort by file type
close_d634289d,Close
collapse_34080b4d,Collapse
collapse_navigation_17228b95,Collapse Navigation
comment_7ef1428e,Comment
component_stacktrace_e24b1983,Component Stacktrace:
composer_cannot_yet_translate_your_bot_automatical_2d54081b,"Composer cannot yet translate your bot automatically.\nTo create a translation manually, Composer will create a copy of your bot’s content with the name of the additional language. This content can then be translated without affecting the original bot logic or flow and you can switch between languages to ensure the responses are correctly and appropriately translated."
composer_introduction_98a93701,Composer introduction
composer_is_up_to_date_9118257d,Composer is up to date.
composer_logo_ba2048a0,Composer Logo
composer_needs_net_core_sdk_46e2a8ae,Composer needs .NET Core SDK
composer_will_restart_88ee8dc3,Composer will restart.
composer_will_update_the_next_time_you_close_the_a_d74264a1,Composer will update the next time you close the app.
conditionalselector_ed2031f0,ConditionalSelector
configure_composer_to_start_your_bot_using_runtime_fe37dadf,Configure Composer to start your bot using runtime code you can customize and control.
configures_default_language_model_to_use_if_there__f09f1acd,Configures default language model to use if there is no culture code in the file name (Default: en-us)
confirm_6556b3a6,Confirm
confirm_choices_db8e99fb,Confirm Choices
confirm_input_bf996e7a,Confirm Input
confirmation_fec87d65,Confirmation
confirmation_modal_must_have_a_title_b0816e0b,Confirmation modal must have a title.
congratulations_your_model_is_successfully_publish_52ebc297,Congratulations! Your model is successfully published.
connect_to_a_new_skill_34d582ab,Connect to a new skill
connect_to_a_skill_53c9dff0,Connect to a skill
connect_to_qna_knowledgebase_4b324132,Connect to QnA Knowledgebase
continue_loop_22635585,Continue loop
conversation_ended_a8bd37dd,Conversation ended
conversation_invoked_e960884e,Conversation invoked
conversationupdate_activity_9e94bff5,ConversationUpdate activity
copy_9748f9f,Copy
copy_content_for_translation_7affbcbb,Copy content for translation
could_not_connect_to_storage_50411de0,Could not connect to storage.
could_not_init_plugin_1f1c29cd,Could not init plugin
couldn_t_complete_the_update_a337a359,"Couldn''t complete the update:"
create_132b3be1,Create
create_a_bot_project_73e6ce33,Create a bot project
create_a_condition_8686fd5,Create a condition
create_a_dialog_9f6c8618,Create a dialog
create_a_name_for_the_project_which_will_be_used_t_57e9b690,Create a name for the project which will be used to name the application: (projectname-environment-LUfilename)
create_a_new_dialog_21d84b82,Create a new dialog
create_a_new_skill_manifest_or_select_which_one_yo_a97e9616,Create a new skill manifest or select which one you want to edit
create_a_trigger_40e74743,Create a trigger
create_bot_from_template_or_scratch_92f0fefa,Create bot from template or scratch?
create_copy_to_translate_bot_content_efc872c,Create copy to translate bot content
create_folder_error_38aa86f5,Create Folder Error
create_from_knowledge_base_qna_maker_7422486,Create from knowledge base (QnA Maker)
create_from_qna_7aa9dcbb,Create from QnA
create_from_scratch_485c3045,Create from scratch
create_from_template_87e12c94,Create from template
create_knowledge_base_db6d66c4,Create knowledge base
create_knowledge_base_from_scratch_afe4d2a2,Create knowledge base from scratch
create_new_empty_bot_21cf0ea3,Create new empty bot
create_new_folder_19d3faa4,Create new folder
create_new_knowledge_base_e14d07a5,Create New Knowledge Base
create_or_edit_skill_manifest_8ad98da9,Create or edit skill manifest
current_40c0812f, - Current
custom_actions_5d396747,Custom Actions
custom_events_d6f0e45b,Custom events
custom_name_optional_60ee6a1a,Custom name (optional)
custom_recognizer_951bab90,Custom recognizer
cut_c8c92681,Cut
data_loading_4c9bb9f6,Data loading...
date_ee500367,Date
date_modified_18beced9,Date modified
date_modified_e1c8ac8f,Date Modified
date_or_time_d30bcc7d,Date or time
date_time_input_2416ffc1,Date Time Input
debug_break_46cb5adb,Debug Break
debug_break_870a75df,Debug break
debugging_options_20e2e9da,Debugging options
decrement_by_step_9b6c2fa3,decrement by { step }
default_language_486a558d,Default language
default_language_b11c37db,Default Language
default_recognizer_9c06c1a3,Default recognizer
define_conversation_objective_146d1cc6,Define conversation objective
defined_in_475568fb,Defined in:
definition_not_found_for_defname_7194fd07,Definition not found for { defName }
delete_a6efa79d,Delete
delete_a_property_f2d70f79,Delete a property
delete_activity_6d881872,Delete activity
delete_bot_73586104,Delete Bot
delete_language_1527609d,Delete language
delete_properties_8bc77b42,Delete Properties
delete_properties_c49a7892,Delete properties
delete_property_b3786fa0,Delete Property
describe_your_skill_88554792,Describe your skill
description_436c48d7,Description
design_51b2812a,Design
dialog_68ba69ba,(Dialog)
dialog_cancelled_767b512a,Dialog cancelled
dialog_data_61d5539b,Dialog data
dialog_dialogid_not_found_5e8214c3,dialog { dialogId } not found
dialog_events_f1b2e2a0,Dialog events
dialog_input_schema_c7864fbd,Dialog input schema.
dialog_interface_398bc493,Dialog Interface
dialog_management_2980578,Dialog management
dialog_opened_f6392b1,Dialog opened
dialog_output_schema_acfe2186,Dialog output schema.
dialog_started_912507c,Dialog started
dialogfactory_missing_schema_5c3255c4,DialogFactory missing schema.
dialognum_plural_0_no_dialogs_1_one_dialog_other_d_1b86909b,"{ dialogNum, plural,\n     =0 {No dialogs}\n     =1 {One dialog}\n  other {# dialogs}\n} have been found.\n            { dialogNum, select,\n      0 {}\n  other {Press down arrow key to navigate the search results}\n}"
disable_a5c05db3,Disable
display_lines_that_extends_beyond_the_width_of_the_9e500f3c,Display lines that extends beyond the width of the editor on the next line.
do_you_wish_to_continue_96469eaf,Do you wish to continue?
does_not_exist_3a34b418,Does Not Exist
done_1a4a010a,Done!
done_54e3d4b6,Done
download_now_and_install_when_you_close_composer_e241ed74,Download now and install when you close Composer.
downloading_bb6fb34b,Downloading...
duplicate_dialog_name_824f9fce,Duplicate dialog name
duplicate_name_d295a09d,Duplicate name
duplicate_skill_manifest_url_74d85839,Duplicate skill manifest Url
duplicate_skill_name_d9f6eb8d,Duplicate skill name
duplicated_intents_recognized_d3908424,Duplicated intents recognized
each_page_of_pagesizestring_in_propstring_a7e23b00,Each page of { pageSizeString } in { propString }
each_value_in_ae285cd9,Each value in
early_adopters_e8db7999,Early adopters
edit_a_publish_profile_30ebab3e,Edit a publish profile
edit_a_skill_5665d9ac,Edit a skill
edit_actions_b38e9fac,Edit Actions
edit_an_array_property_5d886011,Edit an array property
edit_array_4ab37c8,Edit Array
edit_c5fbea07,Edit
edit_displayname_dialog_description_986a7d60,Edit { displayName } dialog description
edit_in_json_75d0d754,Edit in JSON
edit_mode_7e07cfdf,Edit mode
edit_property_dd6a1172,Edit Property
ejecting_runtime_f6c90614,Ejecting runtime...
emit_a_custom_event_78cf318b,Emit a custom event
emit_a_telemetry_track_event_e2442842,Emit a telemetry track event
emit_a_trace_event_f653ae84,Emit a trace event
emit_event_32aa6583,Emit Event
enable_6f5d1328,Enable
enable_line_numbers_to_refer_to_code_lines_by_numb_e5ba66ea,Enable line numbers to refer to code lines by number.
enabled_ba7cab66,Enabled
end_dialog_8f562a4c,End Dialog
end_this_dialog_3ed0d50b,End this dialog
end_turn_6ab71cea,End Turn
end_turn_ca85b3d4,End turn
endofconversation_activity_4aa21306,EndOfConversation activity
english_us_1d884ccd,English (US)
enter_a_manifest_url_to_add_a_new_skill_to_your_bo_57e9d660,Enter a manifest url to add a new skill to your bot.
enter_a_question_74f2e045,Enter a question
enter_an_answer_84152a83,Enter an answer
environment_68aed6d3,Environment
equals_expression_47199f4e,Equals Expression
error_98e81528,Error
error_afac7133,Error:
error_event_c079b608,Error event
error_func_does_not_have_an_evaluator_it_s_not_a_b_8c660980,"Error: { func } does not have an evaluator, it''s not a built-in function or a custom function"
error_in_ui_schema_for_title_errormsg_options_7f3c22f2,Error in UI schema for { title }: { errorMsg }\n{ options }
error_occured_ejecting_runtime_76bb48e7,Error occured ejecting runtime!
error_occurred_5549a6b4,Error occurred
error_processing_schema_2c707cf3,Error Processing Schema
event_48c2be6e, (Event)
event_activity_2067a94b,Event activity
event_created_e9e05afc,Event created
event_focused_51e447f3,Event focused
event_received_457f99d6,Event received
events_cf7a8c50,Events
ex_example_d5c7a406,ex. { example }
example_bot_list_9be1d563,Example bot list
examples_c435f08c,Examples
existing_files_in_scripts_folder_will_be_overwritt_afa8d787,Existing files in scripts/folder will be overwritten. Are you sure you want to continue?
expand_2f2fadbd,Expand
expand_navigation_20330d1d,Expand Navigation
expected_responses_intent_intentname_44b051c,Expected responses (intent: #{ intentName })
export_as_skill_764cf284,Export as skill
export_assets_to_zip_d2d798ab,Export assets to .zip
export_de71cd8e,Export
expression_7f906a13,Expression
expression_starting_with_a750efc8,Expression starting with =.
expression_to_evaluate_ce4095b1,Expression to evaluate.
extension_name_e21a5e25,Extension name
extensions_7250a0bb,Extensions
external_resources_will_not_be_changed_c08b0009,External resources will not be changed.
extract_question_and_answer_pairs_from_an_online_f_7316548e,"Extract question-and-answer pairs from an online FAQ, product manuals, or other files. Supported formats are .tsv, .pdf, .doc, .docx, .xlsx, containing questions and answers in sequence. Learn more about knowledge base sources. Skip this step to add questions and answers manually after creation. The number of sources and file size you can add depends on the QnA service SKU you choose. Learn more about QnA Maker SKUs."
extract_question_and_answer_pairs_from_an_online_f_c1e12724,"Extract question-and-answer pairs from an online FAQ, product manuals, or other files. Supported formats are .tsv, .pdf, .doc, .docx, .xlsx, containing questions and answers in sequence. "
false_2f39ee6d,false
false_eef8c169,False
field_set_6e7d7f67,Field Set
file_name_8fd421ff,File name
file_not_found_9eec054c,File not found
file_or_attachment_5467e604,File or attachment
file_type_fd1ba7ee,File Type
filter_dialog_de3ce43f,Filter Dialog
firstselector_a3daca5d,FirstSelector
folder_foldername_already_exists_4a2260e9,folder { folderName } already exists
for_each_def04c48,For Each
for_each_page_3b4d4b69,For Each Page
form_editor_7c2b02f0,form editor
form_title_baf85c7e,form title
fromtemplatename_does_not_exist_d429483c,fromTemplateName does not exist
gb_7570760e,GB
general_24ac26a8,General
generate_44e33e72,Generate
get_a_new_copy_of_the_runtime_code_84970bf,Get a new copy of the runtime code
get_started_50c13c6c,Get started!
getting_help_ab6811b0,Getting Help
getting_started_f45a7e87,Getting Started
go_to_qna_all_up_view_page_d475333d,Go to QnA all-up view page.
got_it_2c06b54a,Got it!
greeting_f906f962,Greeting
handle_a_condition_f32eb8d,Handle a Condition
handoff_activity_14363a20,Handoff activity
handover_to_human_1a619574,Handover to human
here_s_what_we_know_4e9c1731,Here’s what we know…
hide_code_5dcffa94,Hide code
home_351838cd,Home
host_ef9acfae,Host 
http_request_79847109,HTTP Request
i_want_to_delete_this_bot_f81a4735,I want to delete this bot
icon_name_is_file_c80dacae,{ icon } name is { file }
iconname_file_icon_29976c8e,{ iconName } file icon
id_already_exists_please_enter_a_unique_file_name_174913a3,{ id } already exists. Please enter a unique file name.
id_is_id_c0fc7a7d,id is { id }
if_condition_56c9be4a,If Condition
if_this_problem_persists_please_file_an_issue_on_6fbc8e2b,"If this problem persists, please file an issue on"
if_you_already_have_a_luis_account_provide_the_inf_bede07a4,"If you already have a LUIS account, provide the information below. If you do not have an account yet, create a (free) account first."
if_you_already_have_a_qna_account_provide_the_info_466d6a4b,"If you already have a QNA account, provide the information below. If you do not have an account yet, create a (free) account first."
import_qna_from_url_26a99161,Import QnA From Url
in_production_5a70b8b4,In production
in_test_63c32694,In test
in_the_b_create_a_trigger_b_wizard_set_the_trigger_f9b23519,"In the <b>Create a trigger</b> wizard, set the trigger type to <i>Activities</i> in the dropdown. Then set the <b>Activity Type</b> to <i>Greeting (ConversationUpdate activity)</i>, and click the <b>Submit</b> button."
increment_by_step_1cf3a88,increment by { step }
input_1d1d9b8e,Input
install_microsoft_net_core_sdk_2de509f0,Install Microsoft .NET Core SDK
install_pre_release_versions_of_composer_daily_to__ceb41b54,"Install pre-release versions of Composer, daily, to access and test the latest features. <a>Learn more</a>."
install_the_update_and_restart_composer_fac30a61,Install the update and restart Composer.
integer_b08abbe9,Integer
integer_constant_650191ba,Integer constant.
integer_constant_or_expression_to_evaluate_ec4a17da,Integer constant or expression to evaluate.
integer_or_expression_107f60fb,Integer or expression
intent_2291200b,Intent
intent_recognized_c3840853,Intent recognized
intentname_is_missing_or_empty_e49db2f8,intentName is missing or empty
interpolated_string_c96053f2,Interpolated string.
interpolated_string_e04923d3,Interpolated string
interpolated_string_or_expression_to_evaluate_ba0b0ba,Interpolated string or expression to evaluate.
introduction_of_key_concepts_and_user_experience_e_971b32e9,Introduction of key concepts and user experience elements for Composer.
invoke_activity_87df4903,Invoke activity
is_missing_or_empty_a551462e,is missing or empty
it_s_not_a_built_in_function_or_a_custom_function_1527ed83,"it''s not a built-in function or a custom function."
item_actions_22d0242,Item Actions
item_actions_cd903bde,Item actions
item_added_f3910bed,item added
jan_28_2020_8beb36dc,"Jan 28, 2020"
kb_d9c53902,KB
key_cannot_be_blank_dccc1b46,Key cannot be blank
key_f2a919d5,Key
keys_must_be_unique_2028cef3,Keys must be unique
l_startline_startcharacter_l_endline_endcharacter_72bc2e5d,L{ startLine }:{ startCharacter } - L{ endLine }:{ endCharacter } 
language_generation_1876f6d6,Language Generation
language_generation_file_80c08efe,language generation file
language_understanding_9ae3f1f6,Language Understanding
language_understanding_file_a65abc2c,language understanding file
languagepolicy_e754ad28,LanguagePolicy
last_modified_time_is_time_b1497d3,Last modified time is { time }
learn_more_a79a7918,Learn more
learn_more_about_knowledge_base_sources_24369b09,Learn more about knowledge base sources. 
learn_more_about_qna_maker_skus_998c567,Learn more about QnA Maker SKUs.
learn_more_about_title_d1d3edbe,Learn more about { title }
learn_more_c08939e8,Learn more.
learn_the_basics_2d9ae7df,Learn the basics
leave_product_tour_49585718,Leave Product Tour?
lg_editor_ee0184e6,LG editor
lg_file_already_exist_55195d20,lg file already exist
lg_file_id_not_found_6bd6869b,LG file { id } not found
lg_language_client_7892c4c1,LG Language Client
lg_navigation_pane_97b15c3d,LG Navigation Pane
line_numbers_1bfa7fb,Line numbers
line_startline_startcharacter_line_endline_endchar_372bb2f4,line { startLine }:{ startCharacter } - line { endLine }:{ endCharacter }
link_to_where_this_luis_intent_is_defined_9be25fb7,link to where this LUIS intent is defined
list_view_e33843f0,List view
loading_25990131,Loading...
loading_bde52856,Loading
location_e17bd402,Location
location_is_location_8c17b5de,location is { location }
log_to_console_4fc23e34,Log to console
login_6f3d6249,Login
login_to_composer_eb42b41,Login to Composer
loop_for_each_item_53eb7c5b,Loop: for each item
loop_for_each_item_e09537ae,Loop: For each item
loop_for_each_page_multiple_items_733e7f41,Loop: For each page (multiple items)
looping_ddae56ff,Looping
lu_editor_d09fb2b0,LU editor
lu_file_id_not_found_8732d33e,LU file { id } not found
lu_language_client_bbffcd7b,LU Language Client
lu_navigation_pane_54dc5587,LU Navigation Pane
luis_add4bbe3,LUIS
luis_authoring_key_cfaba7dd,LUIS Authoring key:
luis_authoring_region_b142f97b,Luis Authoring Region
main_dialog_eed5c847,Main dialog
make_a_copy_77d1233,Make a copy
manage_properties_c9fa4456,Manage properties
manifest_url_30824e88,Manifest url
manifest_url_can_not_be_accessed_a7f147b2,Manifest url can not be accessed
manifest_version_1edc004a,Manifest Version
mb_8f9f9e84,MB
message_5c38209d,Message
message_deleted_628eef3a,Message deleted
message_deleted_activity_85dd8915,Message deleted activity
message_reaction_3704d790,Message reaction
message_reaction_activity_379944e7,Message reaction activity
message_received_5abfe9a0,Message received
message_received_activity_1ff7c2a4,Message received activity
message_updated_4f2e37fe,Message updated
message_updated_activity_4997737e,Message updated activity
microsoft_app_id_a7f3e591,Microsoft App Id
microsoft_app_password_737ebc90,Microsoft App Password
minimap_beb3be27,Minimap
missing_definition_for_defname_33f2b594,Missing definition for { defName }
modification_rejected_6a6e8322,Modification Rejected
modify_active_dialog_edcf4a45,Modify active dialog
modify_this_dialog_3c38af24,Modify this dialog
more_options_e89670cf,More options
mostspecificselector_2cf1a6ae,MostSpecificSelector
move_abf00365,Move
move_down_eaae3426,Move Down
move_up_b1c4d3a5,Move Up
msft_ignite_ai_show_e131edef,MSFT Ignite AI Show
multi_choice_839b54bb,Multi-choice
multiple_wildcards_26f50b6c,multiple wildcards
must_be_an_expression_error_477cbda6,must be an expression: { error }
must_have_a_name_d5c5c464,Must have a name
my_publish_profile_2ed56828,My Publish Profile
name_1aed4a1b,Name
name_and_save_your_skill_manifest_cfd672b7,Name and save your skill manifest.
name_cannot_include_special_characters_or_spaces_59a1950b,Name cannot include special characters or spaces
name_copy_55d27c1a,{ name }_Copy
name_is_name_abc564f9,Name is { name }
name_is_required_29d28f8d,{ name } is required
name_of_skill_dialog_to_call_201707f3,Name of skill dialog to call
navigation_control_94f2649e,navigation control
navigation_pane_e587b73c,Navigation pane
navigation_panel_530ae4ac,Navigation panel
navigation_path_8b299e64,Navigation Path
navigation_to_see_actions_3be545c9,navigation to see actions
new_13daf639,New
new_template_49e6f0f2,New template
new_trigger_331c811b,New Trigger ..
new_update_available_30534ea5,New update available
new_value_3c1ce474,New value
newsectionplaceholdersectionname_5fc0d21,_NewSectionPlaceHolderSectionName
next_40e12421,Next
no_editor_for_type_8b5593c5,No Editor for { type }
no_lu_file_with_name_id_fb21315d,NO LU FILE WITH NAME { id }
no_lu_or_qna_file_with_name_id_21cfe9dc,NO LU OR QNA FILE WITH NAME { id }
no_updates_available_cecd904d,No updates available
no_wildcard_ff439e76,no wildcard
node_menu_e2aa8092,Node menu
not_a_single_template_e37f894,Not a single template
not_yet_published_669e37b3,Not yet published
notification_list_ee2abb6c,Notification list
notification_message_msg_7d55d08e,Notification Message { msg }
notification_type_263c145d,Notification type
notifications_cbfa7704,Notifications
nov_12_2019_96ec5473,"Nov 12, 2019"
number_a6dc44e,Number
number_constant_1938e96e,Number constant.
number_constant_or_expression_to_evaluate_1098771,Number constant or expression to evaluate.
number_or_expression_55c7f9f,Number or expression
numeric_field_c2564f69,numeric field
oauth_login_b6aa9534,OAuth login
object_345070f6,Object
object_constant_77052b91,Object constant.
object_or_expression_89903fa1,Object or expression
object_or_expression_to_evaluate_699c8827,Object or expression to evaluate.
off_5385ef3f,Off
ok_c47544a2,OK
ok_ff1b646a,Ok
okay_1772bbeb,Okay
on_8f7190e5,On
onboarding_8407871c,Onboarding
ondialogevents_types_3dc569b5,OnDialogEvents Types
open_e0beb7b9,Open
open_inline_editor_a5aabcfa,Open inline editor
open_skills_page_for_configuration_details_a2a484ea,Open Skills page for configuration details
or_4f7d4edb,Or: 
origin_lg_file_not_found_in_store_d194cdbc,origin lg file not found in store
origin_lu_file_not_found_in_store_19e5cc8f,origin lu file not found in store
original_ce7b7e64, - Original
other_1c6d9c79,Other
output_5023cf84,Output
page_number_cdee4179,Page number
parse_failed_at_name_error_8f562bda,Parse failed at { name }: { error }
paste_5963d1c1,Paste
please_add_at_least_minitems_endpoint_5439fd74,Please add at least { minItems } endpoint
please_enter_a_value_for_key_77cfc097,Please enter a value for { key }
please_enter_an_event_name_a148275a,Please enter an event name
please_input_a_manifest_url_d726edbf,Please input a manifest Url
please_input_regex_pattern_5cd659a2,Please input regEx pattern
please_log_in_before_continuing_b6eace13,Please log in before continuing.
please_return_to_design_view_to_start_the_onboardi_a561af9d,Please return to Design View to start the Onboarding tutorial.
please_select_a_event_type_200c4c9f,Please select a event type
please_select_a_specific_qna_file_to_import_qna_d71d871,Please select a specific qna file to import QnA
please_select_a_trigger_type_67417abb,Please select a trigger type
please_select_a_valid_endpoint_bf608af1,Please select a valid endpoint
please_select_a_version_of_the_manifest_schema_4a3efbb1,Please select a version of the manifest schema
please_select_an_activity_type_92f4a8a1,Please select an activity type
populate_your_knowledge_base_bb2d3605,Populate your Knowledge Base
press_enter_to_add_this_item_or_tab_to_move_to_the_6beb8a14,press Enter to add this item or Tab to move to the next interactive element
press_enter_to_add_this_name_and_advance_to_the_ne_6a2ae080,"press Enter to add this name and advance to the next row, or press Tab to advance to the value field"
previous_bd2ac015,Previous
previous_folder_e7eeb306,previous folder
privacy_290109ea,Privacy
privacy_button_b58e437,Privacy button
progress_of_total_87de8616,{ progress }% of { total }
prompt_for_a_date_5d2c689e,Prompt for a date
